"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0~9세","2025년10월_계_10~19세","2025년10월_계_20~29세","2025년10월_계_30~39세","2025년10월_계_40~49세","2025년10월_계_50~59세","2025년10월_계_60~69세","2025년10월_계_70~79세","2025년10월_계_80~89세","2025년10월_계_90~99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0~9세","2025년10월_남_10~19세","2025년10월_남_20~29세","2025년10월_남_30~39세","2025년10월_남_40~49세","2025년10월_남_50~59세","2025년10월_남_60~69세","2025년10월_남_70~79세","2025년10월_남_80~89세","2025년10월_남_90~99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0~9세","2025년10월_여_10~19세","2025년10월_여_20~29세","2025년10월_여_30~39세","2025년10월_여_40~49세","2025년10월_여_50~59세","2025년10월_여_60~69세","2025년10월_여_70~79세","2025년10월_여_80~89세","2025년10월_여_90~99세","2025년10월_여_100세 이상"
"전국  (0000000000)","51,143,421","51,143,421","2,983,034","4,630,321","5,733,763","6,665,096","7,604,404","8,656,084","7,891,862","4,466,978","2,143,553","359,418","8,908","25,451,723","25,451,723","1,528,758","2,377,553","2,978,234","3,484,994","3,869,766","4,366,075","3,893,173","2,062,940","802,490","86,238","1,502","25,691,698","25,691,698","1,454,276","2,252,768","2,755,529","3,180,102","3,734,638","4,290,009","3,998,689","2,404,038","1,341,063","273,180","7,406"
"서울특별시  (1100000000)","9,313,532","9,313,532","463,761","719,729","1,267,624","1,459,332","1,368,348","1,473,113","1,318,327","819,214","368,261","54,345","1,478","4,489,067","4,489,067","237,978","367,477","593,335","729,571","675,956","724,718","625,088","368,990","150,343","15,292","319","4,824,465","4,824,465","225,783","352,252","674,289","729,761","692,392","748,395","693,239","450,224","217,918","39,053","1,159"
"부산광역시  (2600000000)","3,246,304","3,246,304","171,569","264,352","342,508","388,377","462,025","531,090","553,215","359,552","152,558","20,620","438","1,578,085","1,578,085","87,901","135,387","174,571","200,727","233,721","260,721","259,615","161,684","58,804","4,902","52","1,668,219","1,668,219","83,668","128,965","167,937","187,650","228,304","270,369","293,600","197,868","93,754","15,718","386"
"대구광역시  (2700000000)","2,355,677","2,355,677","135,424","212,954","256,180","284,958","337,270","413,599","378,490","219,375","101,794","15,345","288","1,154,160","1,154,160","69,555","109,304","134,226","152,038","168,031","201,803","180,900","97,220","37,271","3,767","45","1,201,517","1,201,517","65,869","103,650","121,954","132,920","169,239","211,796","197,590","122,155","64,523","11,578","243"
"인천광역시  (2800000000)","3,049,315","3,049,315","190,227","275,708","340,606","430,248","474,597","516,389","471,030","230,567","101,612","17,784","547","1,523,210","1,523,210","97,572","141,237","175,746","224,696","244,615","257,983","232,251","107,308","37,706","3,998","98","1,526,105","1,526,105","92,655","134,471","164,860","205,552","229,982","258,406","238,779","123,259","63,906","13,786","449"
"광주광역시  (2900000000)","1,395,869","1,395,869","87,047","144,260","172,880","173,822","214,114","241,723","193,265","108,933","51,416","8,218","191","688,690","688,690","44,353","74,345","90,252","90,362","106,919","119,772","92,731","48,350","19,617","1,966","23","707,179","707,179","42,694","69,915","82,628","83,460","107,195","121,951","100,534","60,583","31,799","6,252","168"
"대전광역시  (3000000000)","1,442,046","1,442,046","87,324","135,917","189,274","194,321","210,031","242,883","208,249","113,663","51,539","8,621","224","718,579","718,579","44,944","69,786","98,771","103,436","105,187","121,200","101,078","52,303","19,685","2,152","37","723,467","723,467","42,380","66,131","90,503","90,885","104,844","121,683","107,171","61,360","31,854","6,469","187"
"울산광역시  (3100000000)","1,092,797","1,092,797","68,174","109,609","111,956","136,652","169,576","199,333","178,534","84,406","30,057","4,403","97","563,285","563,285","34,930","56,919","64,715","75,436","88,023","99,891","90,354","40,760","11,298","950","9","529,512","529,512","33,244","52,690","47,241","61,216","81,553","99,442","88,180","43,646","18,759","3,453","88"
"세종특별자치시  (3600000000)","392,406","392,406","39,079","53,971","36,696","58,153","76,645","58,859","39,414","19,357","8,405","1,783","44","195,359","195,359","19,874","27,320","18,675","28,800","37,548","30,688","19,620","9,273","3,161","395","5","197,047","197,047","19,205","26,651","18,021","29,353","39,097","28,171","19,794","10,084","5,244","1,388","39"
"경기도  (4100000000)","13,724,652","13,724,652","896,109","1,327,267","1,570,369","1,920,159","2,187,644","2,358,528","1,955,281","974,855","455,022","77,348","2,070","6,893,167","6,893,167","458,782","678,558","821,527","1,006,220","1,116,730","1,186,248","976,051","454,351","174,661","19,623","416","6,831,485","6,831,485","437,327","648,709","748,842","913,939","1,070,914","1,172,280","979,230","520,504","280,361","57,725","1,654"
